headline_id,headline_text,spend,leads,ads,cpl
13,"גוף חזק, ראש רגוע",855.23,22,1,38.87409090909091
2,ללמוד לשלוט ברגע,880.6,22,1,40.02727272727273
4,לנער את השגרה,1492.0699999999997,31,4,48.13129032258063
10,"כוח שקט, שליטה ברגע",432.89,8,1,54.11125
25,מרחב שקט לעצמך,116.99000000000001,2,1,58.495000000000005
19,"עוצמה, רוגע, ובטחון עצמי",1524.4899999999998,26,5,58.63423076923076
14,תנועה. עוצמה. חיוך.,326.06,5,1,65.212
24,כוח שקט. ביטחון בתנועה,287.05,4,1,71.7625
12,חוזק שקט. שליטה בתנועה.,305.73,4,1,76.4325
8,כוח שקט ללא מאבק,229.95999999999998,3,1,76.65333333333332
21,"כוח, שלווה, וביטחון פנימי",500.21,6,2,83.36833333333333
22,עוצמה מתחילה בהקשבה,313.92999999999995,3,2,104.64333333333332
6,"תנועה, זרימה, חיבור",341.59,3,2,113.86333333333333
23,חזקה. רגועה. בטוחה.,147.46,1,1,147.46
11,עוצמה דרך חיבור,125.47999999999999,0,1,
7,"עוצמה, איזון, בטחון עצמי",118.94,0,1,
15,בשבילך כי מגיע לך,70.61,0,1,
