text_id,text_name,text_variant,primary_text,spend,leads,ads,cpl
18,Meaningful Movement,,"מחפשת תחביב שמכניס משמעות, תנועה ורוגע ליומיום?  
אייקידו זה הרבה יותר מאימון. זו דרך חיים של חיבור פנימי וחיצוני.
⚡️שיפור תנועתיות: כוח, גמישות, שיווי משקל, ויציבות
⚡️בטחון בגוף: ללמוד ליפול ולהתגלגל. תרגישי בטחון חדש בגוף.
⚡️שליטה עצמית במצבי מתח: התמודדות עם קונפליקט בחופשיות ויצירתיות
הדוג'ו במרכז באר שבע הוא ידידותי ולא תחרותי. אפשר להתחיל בכל גיל ובכל רמת נסיון.
תני קליק על התמונה ובואי להתנסות בשיעור נסיון ללא התחייבות.",855.23,22,1,38.87409090909091
8,Everyday Pressure,,"מרגיש את הלחץ מכל כיוון?
⚡️אייקידו משחרר מתחים 
⚡️אייקידו מלמד אותך להגיב אחרת – גם במצבי לחץ יומיומיים
⚡️אייקידו פותח את הגוף לתנועה ונשימה. תגלה יכולות חדשות.
הדוג'ו במרכז באר שבע הוא ידידותי ולא תחרותי. אפשר להתחיל בכל גיל.
תנו קליק על התמונה ובואו להתנסות בשיעור נסיון ללא התחייבות.",824.41,21,1,39.257619047619045
7,Time Out For You,Dad,"😉חוגים לילדים? יש.
😉פעילויות משפחתיות? יש.
🤨ומה איתך?
🥋אייקידו: פסק זמן אמיתי גם לאבא.
אימונים באווירה טובה ולא תחרותית בלב באר שבע. מתאים לכל גיל וכל רמת נסיון.
כדאי לך: תן קליק לשיעור נסיון ללא התחייבות!",1087.31,26,2,41.81961538461538
10,Stable Without Struggle,,"רוצה להרגיש יציב וחזק בלי להילחם על זה?
אייקידו היא אמנות לחימה רכה שמתאימה לכל גיל — תנועה מדויקת, שליטה בגוף, ויכולת להגיב ברוגע גם בלחץ.
הדוג’ו במרכז באר שבע עם אינו תחרותי ומתאים גם למי שמתחיל מאפס.
לחץ על התמונה 
בוא לשיעור נסיון ללא התחייבות.",432.89,8,1,54.11125
12,Time Out For You,Mom,"😉חוגים לילדים? יש.
😉פעילויות משפחתיות? יש.
🤨ומה איתך?
🥋אייקידו: פסק זמן אמיתי גם לך כי מגיע לך!
אימונים באווירה טובה ולא תחרותית בלב באר שבע. מתאים לכל גיל וכל רמת נסיון.
כדאי לך: תעשי קליק על התמונה לשיעור נסיון ללא התחייבות!",1386.8000000000002,24,4,57.78333333333334
22,Quiet Space - Bullet Calm,,"מקום לנשום. לא צריך למהר
🌿 תנועה רגועה שמכבדת את הגוף
🌿 אימון רך, תומך ולא תחרותי
🌿 מרחב בטוח לעצור רגע בתוך השבוע
לחצי לפרטים ולהתנסות בשיעור היכרות בלי התחייבות.
",116.99000000000001,2,1,58.495000000000005
21,Screens To Energy,,"😵‍💫עומס?
📱מסכים בלי סוף?
🥱עייפות שלא עוברת?
🥋באייקידו לומדים להוציא את המתח דרך תנועה – ולגלות אנרגיה חדשה.
אומנות לחימה לא אלימה שמלמדת יציבות ושלווה, מפתחת תעונתיות, ומקפיצה את האנרגיה
הצטרפי לאימוני אייקידו למבוגרים באווירה לא תחרותית, כאן בבאר שבע.
כדאי לך: תעשי קליק על התמונה לשיעור נסיון ללא התחייבות!",388.9,6,1,64.81666666666666
20,Confident Movement Your Pace,,"באייקידו תחזקי יציבה, קואורדינציה ושיווי משקל – גם אם לא התאמנת שנים.
תלמדי להניע את הגוף בצורה יעילה, בלי כוחנות ובלי להרגיש שאת “נלחמת”.
האימון מפתח ביטחון, רוגע ושליטה בתנועה – בקצב שמתאים לך.
הדוג’ו ידידותי, לא תחרותי, ומתאים לנשים בכל רמת ניסיון.",287.05,4,1,71.7625
6,Anger Under Pressure,,"יש לחץ מכל כיוון? 
עולה לך כעס שמרגיש בלתי נשלט?
⚡️אייקידו משחרר מתחים 
⚡️אייקידו מלמד אותך להגיב אחרת – גם בלחצים והאיומים שיש כל יום
⚡️אייקידו פותח את הגוף לתנועה ונשימה. תגלה יכולות חדשות.
הדוג'ו במרכז באר שבע הוא ידידותי ולא תחרותי. אפשר להתחיל בכל גיל.
תנו קליק על התמונה ובואו להתנסות בשיעור נסיון ללא התחייבות.",365.58,5,1,73.116
13,Time Out For You,Mom Checklist,"😉חוגים לילדים? מסודר!
😉פעילויות משפחתיות? ביומן!
🤨ומה איתך?
🥋אייקידו: פסק זמן אמיתי גם לך כי מגיע לך!
אימונים באווירה טובה ולא תחרותית בלב באר שבע. מתאים לכל גיל וכל רמת נסיון.
כדאי לך: תעשי קליק על התמונה לשיעור נסיון ללא התחייבות!",74.85,1,1,74.85
11,Control Without Strain,,"באייקידו תחזיר לעצמך שליטה בגוף: קואורדינציה, טווחי תנועה גדולים יותר, ויציבות.
תלמד לפתח עוצמה בלי כוחנות. תנועה יעילה, אפקטיבית, ונטולת מאמץ מיותר או כאבים.
הדוג’ו איננו תחרותי ומתאים גם למי שלא התאמן בעבר.
תלחצו על התמונה לקבל שיעור נסיון ללא התחייבות!",305.73,4,1,76.4325
5,Effortless Strength,,"נמאס מהמאמץ הבלתי פוסק?
באייקידו מתעלים אנרגיה, לא מבזבזים אותה. 
🥋 תנועה שמחזקת בלי כוחנות 
🥋 שחרור מתחים וריכוז מחדש 
🥋 אימונים באווירה נעימה בלב באר שבע 
מגיל 16 ועד 80. אין צורך בניסיון קודם. 
תן קליק → שיעור היכרות ללא התחייבות 🎁",229.95999999999998,3,1,76.65333333333332
15,Strength Through Softness,,אפשר לצבור בטחון בגוף בלי אלימות. אפשר ללמוד שליטה ועוצמה בלי כוחניות. אייקידו אומנות לחימה שמלמדת עוצמה דרך רוך ובחטון עצמי דרך חיבור. בואי ללמוד לעמוד על שלך ברוגע!,248.11999999999998,3,1,82.70666666666666
14,Time Out For You,Managed Life,"😉 קניות לבית? סידרת.
😉 פגישות עבודה? סידרת.
🤨 ומה איתך?
🥋 אייקידו: הפסקה אמיתית עבורך – כי מגיע לך!
אימונים באווירה נעימה ולא תחרותית במרכז באר שבע. מתאים לכולן מגיל 16 ועד 70 ולכל רמת ניסיון.
כדאי לך: לחצי על התמונה לשיעור היכרות ללא התחייבות!",500.21,6,2,83.36833333333333
1,Stress Mental Load,,"😵‍💫 הראש רץ בלי הפסקה?
⚡️ באייקידו תמצא מקום לשחרר מתחים
⚡️ תלמד להגיב אחרת – גם במצבים לוחצים
⚡️ תפתח את הגוף לתנועה, כוח ונשימה
הדוג'ו במרכז באר שבע ידידותי ולא תחרותי. אפשר להתחיל בכל גיל מ15 ומעלה.
קליק קטן על התמונה → שיעור ניסיון מתנה 🎁
תנו קליק על התמונה ובואו להתנסות בשיעור נסיון ללא התחייבות.",95.37,1,1,95.37
2,Stress Mental Load,Body-Mind Reframe,"הראש רץ בלי הפסקה? 
להזיז את הגוף מרגיע את הראש!
⚡️ באייקידו תמצא מקום לשחרר מתחים
⚡️ תלמד להגיב אחרת – גם במצבים לוחצים
⚡️ תפתח את הגוף לתנועה, כוח ונשימה
הדוג'ו במרכז באר שבע ידידותי ולא תחרותי. אפשר להתחיל בכל גיל מ15 ומעלה.
קליק קטן על התמונה → שיעור ניסיון מתנה 🎁
תנו קליק על התמונה ובואו להתנסות בשיעור נסיון ללא התחייבות.",216.45999999999998,2,1,108.22999999999999
19,Safe And Capable,,"להרגיש בטוחה בגוף שלך – ובמה שהוא מסוגל לעשות
אייקידו לנשים וגברים בבאר שבע, באווירה חברית ורגועה.
💪 חיזוק, תנועה, יציבות, ואפס תחרותיות.
רוצה לנסות? לחצי לשיעור היכרות ללא התחייבות.",147.46,1,1,147.46
3,"Balance, Not Struggle",,"לא מאבק, אלא איזון

אייקידו היא אומנות לחימה שמחברת בין כוח לשקט.
בכל תנועה יש דיוק, נשימה ובחירה.
🌀 לומדים להישאר רגועים גם מול התנגדות
🌀 בונים ביטחון עצמי מתוך שליטה, לא כוחניות
🌀 דוג׳ו חם ופתוח למבוגרים בכל גיל
תנו קליק על התמונה ובואו להתנסות בשיעור נסיון ללא התחייבות",244.07,1,2,244.07
9,Flow and Focus,,"להניע את הגוף. לחדד את המיקוד. להתחזק מבפנים.
האייקידו למבוגרים בבאר שבע הוא אימון של תנועה זורמת ויעילה, שמפתח כוח, יציבות ותגובה רגועה גם בלחץ.
בואו להתנסות בשיעור פתיחה ולגלות כמה טוב זה מרגיש לזוז — בלי תחרות, בלי מאבק, רק התקדמות אמיתית.
קליק על התמונה ותקבלו הזמנה לשיעור נסיון ללא התחייבות!",125.47999999999999,0,1,
16,Soft Power For You,,"😉 חוגים לילדים? יש.  
😉 פעילויות משפחתיות? יש.  
🤨 ומה איתך?

🥋🥋אייקידו היא אומנות לחימה יפנית רכה אך עוצמתית, שמלמדת לעמוד יציבה 🥋🥋
🔸 לא בכוח אלא באיזון
🔸 לא בהתנגדות אלא בנוכחות שקטה.

הצטרפי לאימונים באווירה מקבלת ותומכת בשכונה ג' בבאר שבע.

🔸 מתאים לכל גיל, כושר ורמת ניסיון  
🔸 משפר ביטחון עצמי, ריכוז ושליטה בגוף  
🔸 דרך נהדרת לפרוק מתחים ולהתחזק – מבפנים ומבחוץ  
🔸 קבוצה קטנה, יחס אישי, אווירה חמה ומכילה

**לא צריך לדעת להילחם. רק לבוא כמו שאת.**  
כי מגיע גם לך משהו שהוא רק שלך.",70.61,0,1,
17,Calm Precision,,"אייקידו לא מלמדת מאבק. היא מלמדת תנועה, הקשבה ודיוק.
בכל תרגול יש שקט, חיבור ותחושת ביטחון.
🌿 תנועה שמחזקת בלי כוחנות
🌿 לימוד בגובה העיניים, באווירה תומכת
🌿 מתאים מגיל 16 ועד גיל 80, אין צורך בניסיון קודם

קליק אחד:  שיעור ניסיון ללא התחייבות",65.81,0,1,
